longitude,latitude,altitude
-51.95,-28.35,796.592291666667
-51.85,-28.35,835.3275
-51.75,-28.35,796.685416666667
-51.65,-28.35,798.860694444444
-51.55,-28.35,802.391944444445
-51.45,-28.35,829.233680555556
-51.35,-28.35,848.342569444444
-51.25,-28.35,892.594027777778
-51.15,-28.35,929.380333333333
-51.05,-28.35,943.493222222222
-52.65,-28.45,545.910555555556
-52.55,-28.45,549.320277777778
-52.45,-28.45,606.032291666667
-52.35,-28.45,653.519791666667
-52.25,-28.45,696.381388888889
-52.15,-28.45,748.53125
-52.05,-28.45,782.728819444444
-51.95,-28.45,766.863263888889
-51.85,-28.45,800.25875
-51.75,-28.45,795.282291666667
-51.65,-28.45,784.887916666667
-51.55,-28.45,769.399236111111
-51.45,-28.45,779.979583333333
-51.35,-28.45,828.487708333333
-51.25,-28.45,853.262083333333
-51.15,-28.45,907.547666666667
-51.05,-28.45,914.990888888889
-52.65,-28.55,502.236444444444
-52.55,-28.55,501.925
-52.45,-28.55,541.202222222222
-52.35,-28.55,565.977638888889
-52.25,-28.55,620.850069444444
-52.15,-28.55,712.141597222222
-52.05,-28.55,666.580208333333
-51.95,-28.55,734.067361111111
-51.85,-28.55,681.383263888889
-51.75,-28.55,759.818263888889
-51.65,-28.55,765.767986111111
-51.55,-28.55,687.519791666667
-51.45,-28.55,730.139305555556
-51.35,-28.55,755.280069444444
-51.25,-28.55,833.000277777778
-51.15,-28.55,879.906666666667
-51.05,-28.55,914.098611111111
-52.65,-28.65,497.825
-52.55,-28.65,541.980944444444
-52.45,-28.65,597.582916666667
-52.35,-28.65,510.094583333333
-52.25,-28.65,525.565138888889
-52.15,-28.65,627.411944444444
-52.05,-28.65,614.439097222222
-51.95,-28.65,638.021805555556
-51.85,-28.65,708.718472222222
-51.75,-28.65,737.868888888889
-51.65,-28.65,719.637361111111
-51.55,-28.65,682.529166666667
-51.45,-28.65,664.069722222222
-51.35,-28.65,721.816319444444
-51.25,-28.65,775.745277777778
-51.15,-28.65,847.435333333333
-51.05,-28.65,899.269111111111
-52.65,-28.75,571.911277777778
-52.55,-28.75,634.510444444445
-52.45,-28.75,658.294722222222
-52.35,-28.75,625.391180555556
-52.25,-28.75,474.137708333333
-52.15,-28.75,532.376111111111
